Machine_Settings,Material_Quality,Temperature,Humidity,Production_Speed,Sensor_Vibration,Shift,Material_Type,Operator_Skill_Level,Defect
102.92881023563949,1.0557281624686945,27.172777059328247,46.55849982783518,79.26420497404362,1.2335604391040214,Morning,Type_C,Expert,1
112.91136198234517,0.7060382173936559,22.14125978952348,55.184732108263724,106.65182742712182,1.0952483593282765,Morning,Type_B,Expert,1
106.16580256429863,0.9854957175143336,22.847339849881138,61.14337056113125,63.74144264003239,0.6371991818079921,Afternoon,Type_C,Expert,1
102.69299097981381,1.1252622345646293,18.757808796257677,64.06231177133958,84.97121847280575,1.2050550632784658,Afternoon,Type_A,Beginner,1
95.41928796033429,0.7263852592144543,24.075645252157084,62.65650854856255,55.32163791619074,0.9643920925953497,Night,Type_B,Intermediate,1
108.75364678399936,1.2277128898142382,19.543572130047526,36.64308354373672,87.90681437821276,2.0258546760433367,Morning,Type_B,Expert,1
96.25523267576155,1.012048849981404,23.65926021814473,63.135582100143424,61.41513457231105,0.7232565997125227,Night,Type_B,Beginner,1
123.50638004692479,0.7183966289954307,17.54517173361105,32.34516235535089,106.18129118022961,0.7873620839084101,Night,Type_C,Expert,1
127.81976563006177,0.8346481671525041,17.392036385117382,38.006827262022746,114.15937343956617,1.0570206017562278,Night,Type_C,Expert,1
93.00649112954666,1.2722054178563877,21.255446117879902,54.91706880263956,148.70915366766957,1.0760536586706102,Morning,Type_A,Beginner,1
117.50350228495988,1.0493918398312332,21.40229272665811,34.58770101787617,69.513866225944,2.192609873392226,Morning,Type_B,Expert,1
101.73369518517427,0.7644835406612827,19.021638973688084,54.133903802248,70.72021488024639,2.0825673129009745,Morning,Type_C,Expert,1
104.08267366563594,0.8725267013683369,16.97395275550035,42.31862765454255,144.7419518589765,1.6572712664104507,Afternoon,Type_A,Beginner,1
125.53579829755967,0.9740221755162906,15.588158088208456,47.17866340618593,136.46408384568184,1.0771773577200932,Afternoon,Type_A,Expert,1
74.26216349187322,0.7125700415606382,15.378477409317242,42.60606013781912,111.60540494372188,1.1377567064219847,Morning,Type_A,Intermediate,1
75.22775798209244,0.9469693081682553,19.073254350097137,32.806942714596175,134.1407236750209,1.6844365499652894,Morning,Type_A,Beginner,1
71.21310384641954,0.9936751812608189,21.92780163242906,50.03035011687844,70.96921447214885,1.979733117529648,Morning,Type_B,Expert,1
119.95719073287628,0.8462067251687393,25.893649219591907,68.5439777757955,137.40288228634358,1.2681961102168988,Afternoon,Type_A,Intermediate,1
116.68940505699103,1.0531834001751919,22.123075510710134,54.47133392640509,136.73075096746405,1.5191240572887503,Afternoon,Type_C,Expert,1
122.20072889480915,1.151944071755306,28.560762291529226,42.001274864685016,74.81122484800626,2.2760662730653882,Night,Type_B,Beginner,1
128.71710053396583,0.8415005344633812,15.528297068631106,68.24599336496077,100.83733142598797,1.7995817134168615,Morning,Type_B,Expert,1
117.94951385300342,1.0722999401679927,17.709909323109514,45.569490078089096,142.97742638910046,1.5711002640838,Morning,Type_B,Intermediate,1
97.68876173517592,1.083773345778245,20.07771739155214,57.900709354753744,117.91499961674852,0.6424449222837825,Afternoon,Type_B,Expert,1
116.83175057718734,1.2691241806773048,23.662442820976835,55.36451219689777,116.05191053207406,0.852030423555822,Afternoon,Type_A,Expert,1
77.096465552136,1.1669657003778662,27.791042368409137,68.11643392155406,105.9764600564366,0.9019831676312466,Night,Type_A,Expert,1
108.39526127965144,1.2090071618740037,20.253029279348645,66.58410777979347,76.88315646932502,1.7462965849045893,Morning,Type_B,Intermediate,1
78.60119724454279,0.9942519450617651,19.019830237566303,35.92016225400125,147.8415371511259,0.7162255034091001,Afternoon,Type_A,Intermediate,1
